Not applicable: -999 Non-response: -888														
Code	Question	Type of Data	Value	Free-response?	Context	Object	Property	Subproperty	Volume	Layout	Location	Reverse	Privacy	Preference
morning_command_skype_	Rate the acceptability of using command center location in the habitat for personal communication (e.g. a phone call or Skype) with friends and family.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	morning	command	skype		0	1	cmd	0	1	0
morning_command_personal_	For personal communications (e.g. phone call or Skype) with friends and family, would you prefer to talk/video conference in private or the communal space?	Categorical	0 private 1 communal	1	morning	command	personal		0	1	cmd	0	1	0
work_cargo_presence_	To what degree did the presence of other crew members affect your cargo transfer?	Ordinal	1-6 1 - none 6 - a great deal	1	work	cargo	presence		1	1	crg	1	0	0
work_cargo_location_	Rate the acceptability of the location of the cargo storage for accessibility and logical location.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	cargo	location		0	1	crg	0	0	0
work_science_toolstorage_	Rate the acceptability of the location of the tool storage for accessibility and location proximity to work areas	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	science	toolstorage		0	1	sci	0	0	0
work_science_location_proximity	Rate the acceptability of the location of the science control panel for usability and location proximity to work areas.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	science	location	proximity	0	1	sci	0	0	0
work_science_space_	Rate the acceptability of the workspace at the workstation for usability, adequacy of surface area.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	science	space		1	1	sci	0	0	0
work_science_location_usability	Rate the acceptability of the location of the science station for accessibility and usability.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	science	location	usability	0	1	sci	0	0	0
work_science_presence_	To what degree did the presence of other crewmembers affect your science work?	Ordinal	1-6 1 - none 6 - a great deal	1	work	science	presence		1	1	sci	1	0	0
work_exercise_treadmill_space	Rate the acceptability for amount of space used for the treadmill.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	exercise	treadmill	space	1	0	exr	0	0	0
work_exercise_treadmill_location	Rate the acceptability of the location of the treadmill for accessibility.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	exercise	treadmill	location	0	1	exr	0	0	0
work_exercise_resistive_space	Rate the acceptability for amount of space used for the resistive exercise equipment.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	exercise	resistive	space	1	0	exr	0	0	0
work_exercise_resistive_unobtrusiveness	Rate the acceptability of the location of the resistive exercise equipment for accessibility and unobtrusiveness.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	exercise	resistive	unobtrusiveness	0	1	exr	0	0	0
work_hygiene_volume_	Rate the acceptability for the amount of volume used for personal hygiene in the node.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	hygiene	volume		1	0	hyg	0	0	0
work_hygiene_location_general	Rate the acceptability of the location of the personal hygiene space for convenience, accessibility and privacy.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	hygiene	location	general	0	1	hyg	0	1	0
work_hygiene_location_privacy	Rate the acceptability of the location of the personal hygiene space for privacy.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	hygiene	location	privacy	0	1	hyg	0	1	0
work_co2_lioh_location	Rate the acceptability of the LiOH canister storage location for accessibility and proximity to CO2 removal system.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	co2	lioh	location	0	1	co2	0	0	0
work_co2_accessibility_	Rate the accessibility of the CO2 removal system.	Ordinal	1-6 1 - completely inaccessible 6 - completely accessible	1	work	co2	accessibility		0	1	co2	0	0	0
work_co2_lioh_accessibility	Rate the accessibility of the spent LiOH canisters inside the CO2 removal system.	Ordinal	1-6 1 - completely inaccessible 6 - completely accessible	1	work	co2	lioh	accessibility	0	1	co2	0	0	0
work_co2_presence_	To what degree did the presence of other crewmembers affect your maintenance work?	Ordinal	1-6 1 - none 6 - a great deal	1	work	co2	presence		1	1	co2	1	0	0
work_co2_location_	Rate the acceptability of location of the CO2 removal system.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	work	co2	location		0	1	co2	0	0	0
eva_suit_location_	Rate the acceptability of the location of the EVA suits.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	eva	suit	location		0	1	eva	0	0	0
eva_itemremoval_effort_	In the Node item removal process, rate the acceptability of the physical and mental effort.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	eva	itemremoval	effort		1	1	eva	0	0	0
eva_itemremoval_general_	Rate the acceptability of the Node item removal process.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	eva	itemremoval	general		1	1	eva	0	0	0
eva_panel_location_	Rate the acceptability of the location of the EVA panel.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	eva	panel	location		0	1	eva	0	0	0
eva_helpers_number_	Rate the acceptability of having 2 IV helpers per 2 EVA crewmembers (EV)	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	eva	helpers	number		1	1	eva	0	0	0
eva_helpers_ideal_	How many IV helpers would be ideal per EVA crewmember? (EV)	Count	0-4	1	eva	helpers	ideal		1	1	eva	0	0	1
evaev_suit_don_volume	Rate the acceptability of the amount of volume available for 2 crewmembers to don (put on) the EVA suits. (EV)	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	evaev	suit	don	volume	1	0	eva	0	0	0
evaev_suit_doff_volume	Rate the acceptability of the amount of volume available for 2 crewmembers to doff (take off) the EVA suits. (EV)	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	evaev	suit	doff	volume	1	0	eva	0	0	0
evaiv_helpers_number_	Rate the acceptability of having 2 IV helpers, per 2 EVA crewmembers. (IV)	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	evaiv	helpers	number		1	0	eva	0	0	0
evaiv_helpers_ideal_	How many total IV helpers would be ideal per EVA crewmember? (IV)	Count		1	evaiv	helpers	ideal		1	1	eva	0	0	1
evaiv_suit_don_volume	Rate the acceptability of the amount of volume available to help don (put on) the EVA suit. (IV)	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	evaiv	suit	don	volume	1	0	eva	0	0	0
evaiv_suit_doff_volume	Rate the acceptability of the amount of volume available to help doff (take off) the EVA suit. (IV)	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	evaiv	suit	doff	volume	1	0	eva	0	0	0
evaiv_suit_accessibility_	Rate the accessibility of the EVA suit. (IV)	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	evaiv	suit	accessibility		0	1	eva	0	0	0
emergency_exit_general_	Rate the acceptability of the emergency egress path.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	emergency	exit	general		1	1	emg	0	0	0
emergency_exit_training_	With training, could the 4-person crew successfully and safely egress to the Orion capsule in one minute?	Binary	0 no 1 yes	1	emergency	exit	training		1	1	emg	0	0	0
overall_habitat_layout_	Overall, rate the acceptability of the habitat layout.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	overall	habitat	layout		0	1	all	0	0	0
overall_habitat_longduration_volume	Overall, rate the acceptability of the volume of the entire space habitat for a crew of 4 for 60 days.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	overall	habitat	longduration	volume	1	0	all	0	0	0
overall_node_general_volume	Overall, rate the acceptability of the volume for the node.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	overall	node	general	volume	1	0	nde	0	0	0
overall_habitat_general_volume	Overall, rate the acceptability of the volume for the hab.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	overall	habitat	general	volume	1	0	hab	0	0	0
overall_habitat_publicspace_volume	Rate the acceptability of the volume of public spaces in the entire space habitat.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	1	overall	habitat	publicspace	volume	1	0	all	0	0	0
overall_habitat_privatespace_volume	Rate the acceptability of the amount of private spaces in the entire space habitat.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	0	overall	habitat	privatespace	volume	1	0	all	0	1	0
overall_ich_volume_excess	Is there any place where there was more volume than needed?	Binary	0 no 1 yes	0	overall	ich	volume	excess	1	0	all	0	0	0
overall_ich_volume_deficit	Is there any place where more volume is needed?	Binary	0 no 1 yes	1	overall	ich	volume	deficit	1	0	all	0	0	0
overall_ich_layout_	Would you change the layout or arrangement of locations?	Binary	0 no 1 yes	1	overall	ich	layout		0	1	all	0	0	0
overall_ich_safety_	Did any aspect/task feel unsafe due to the layout or volume constraints? If yes, explain.	Binary	0 no 1 yes	1	overall	ich	safety		1	1	all	0	0	0
overall_ich_dividers_	Would you like any spatial dividers? How would it impact your experience?	Binary	0 no 1 yes	1	overall	ich	dividers		0	1	all	0	0	1
overall_ich_windows_practical	Would the presence of windows benefit any tasks you performed?	Ordinal	1-6 1 - none 6 - a great deal	0	overall	ich	windows	practical	0	1	all	0	0	1
overall_ich_windows_psych	Would the presence of window benefit your psychological well-being?	Ordinal	1-6 1 - none 6 - a great deal	0	overall	ich	windows	psych	0	1	all	0	0	1
overall_ich_storage_volume	Overall, rate the acceptability of the amount of storage for the items you worked with.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	0	overall	ich	storage	volume	1	0	crg	0	0	0
overall_ich_storage_location	Overall, rate the acceptability of the location of storage.	Ordinal	1-6 1 - completely unacceptable 6 - completely acceptable	0	overall	ich	storage	location	0	1	crg	0	0	0
overall_ich_other_	Is there anything else you’d like to tell us about your experience? Are there any changes you would like made to the habitat?	Free-response		1	overall	ich	other		0	0	all	0	0	0
